"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"676",2,53,7,1,3,8
"677",2,48,5,1,5,8
"678",1,51,7,1,3,7
"679",2,63,4,NA,1,9
"680",1,35,1,2,1,4
"681",2,82,6,2,NA,5
"682",1,61,4,2,2,6
"683",2,79,5,1,5,7
"684",2,18,6,NA,1,9
"685",1,71,7,1,1,7
"686",1,59,7,1,2,8
"687",1,22,5,2,3,5
"688",2,57,3,1,3,2
"689",1,51,5,1,3,8
"690",2,82,10,1,3,10
"691",2,49,9,1,2,9
"692",2,41,5,1,4,10
"693",1,32,7,1,2,8
"694",1,33,5,1,2,8
"695",2,80,5,1,2,NA
"696",2,40,5,1,1,7
"697",1,46,7,1,1,10
"698",1,38,6,1,5,9
"699",2,40,7,1,1,7
"700",2,47,6,1,4,8
"701",1,43,3,1,1,8
"702",1,19,4,2,1,7
"703",2,44,6,1,3,7
"704",2,60,2,1,1,7
"705",2,21,6,1,1,8
"706",1,67,7,1,3,8
"707",2,50,8,1,1,6
"708",1,72,5,1,2,4
"709",1,75,0,1,1,0
"710",1,73,5,1,4,8
"711",2,50,5,1,1,6
"712",2,39,4,1,3,9
"713",1,16,5,NA,2,8
"714",2,92,5,1,2,10
"715",1,39,5,2,3,6
"716",1,65,5,1,3,10
"717",2,69,4,1,1,6
"718",1,46,6,1,2,6
"719",1,66,7,1,2,7
"720",1,47,5,1,2,7
"721",2,45,6,1,2,7
"722",2,17,5,NA,4,10
"723",1,35,4,1,2,8
"724",1,57,5,1,3,5
"725",1,35,5,1,3,9
"726",2,52,7,1,2,9
"727",1,80,3,1,4,5
"728",2,41,8,NA,2,8
"729",1,47,7,1,4,8
"730",2,57,2,1,4,4
"731",1,17,5,NA,1,8
"732",1,63,6,1,2,7
"733",2,45,8,2,2,7
"734",1,56,4,1,5,3
"735",1,27,6,2,2,6
"736",1,23,5,NA,2,7
"737",1,29,6,1,3,8
"738",2,27,6,1,1,7
"739",1,34,5,NA,4,7
"740",2,39,7,1,2,9
"741",1,73,0,1,2,2
"742",1,56,3,1,2,5
"743",1,30,7,1,1,7
"744",2,44,5,1,2,7
"745",2,45,6,NA,1,8
"746",1,26,6,1,3,7
"747",1,15,6,NA,3,10
"748",1,34,3,1,1,5
"749",2,68,7,1,2,8
"750",1,32,7,2,2,8
"751",1,71,3,1,3,5
"752",2,63,5,1,5,7
"753",1,44,5,1,2,8
"754",1,15,4,NA,4,10
"755",1,65,4,2,2,8
"756",2,38,7,1,2,2
"757",2,40,7,1,4,8
"758",1,26,3,1,2,6
"759",1,59,5,2,1,9
"760",1,77,3,1,2,7
"761",2,37,5,1,2,7
"762",1,28,3,2,4,4
"763",1,63,2,1,2,5
"764",2,21,3,1,1,5
"765",1,57,6,1,2,7
"766",2,19,4,NA,4,5
"767",1,67,5,1,4,7
"768",1,55,5,1,2,8
"769",2,30,6,1,2,8
"770",2,68,7,1,3,8
"771",2,77,5,1,2,8
"772",1,82,7,1,2,8
"773",2,78,5,1,5,8
"774",2,72,8,1,3,8
"775",1,45,7,1,2,8
"776",2,26,6,1,4,7
"777",1,55,4,1,2,7
"778",1,55,6,1,4,9
"779",1,22,5,1,3,7
"780",2,60,3,2,4,3
"781",1,70,5,1,3,8
"782",2,85,5,1,2,6
"783",1,72,6,1,4,6
"784",1,45,7,1,2,8
"785",2,60,6,1,2,5
"786",2,51,3,1,1,4
"787",2,83,5,1,3,NA
"788",1,72,5,1,3,9
"789",2,59,7,1,2,8
"790",2,52,7,1,3,7
"791",1,22,7,2,2,9
"792",1,67,8,1,3,8
"793",2,53,4,1,1,5
"794",1,36,6,1,3,8
"795",2,55,1,1,1,4
"796",2,47,6,NA,1,6
"797",2,49,3,1,4,2
"798",1,48,5,1,2,8
"799",2,17,4,NA,1,4
"800",1,50,8,1,6,9
"801",1,56,7,1,2,9
"802",1,80,3,1,2,7
"803",2,52,7,1,4,6
"804",1,84,3,1,1,8
"805",1,59,5,1,5,9
"806",2,30,3,2,1,7
"807",2,54,7,1,1,8
"808",2,81,5,1,3,7
"809",2,42,5,2,2,7
"810",2,54,4,1,5,6
"811",2,58,7,1,2,6
"812",2,23,7,1,2,8
"813",1,77,4,1,3,5
"814",1,79,8,NA,2,8
"815",2,48,9,1,1,9
"816",1,32,6,1,2,9
"817",2,48,1,1,2,8
"818",2,57,3,1,2,4
"819",2,48,3,1,1,4
"820",2,85,8,1,2,8
"821",2,56,6,1,3,8
"822",2,15,4,NA,1,6
